brand	[brand, dell, panasonic, samsung, samsung_airtrack_soundbar, samsung_displays, samsung_dlp_tv, samsung_hdtvs, samsung_jewel, samsung_lcd_tv, samsung_lcds, samsung_led_tv, samsung_product, samsung_products, samsung_support, sony]
input/output	[antenna_input, audio_output, blinking_with_hdmi, cable_box, component_input, component_video_inputs, composite_av_input, digital_audio_output, digital_optical_out, dish_hd_output, hdmi, hdmi_input, hdmi_inputs, hdmi_ports, high_definition_input, hook_up_laptop_via_vga, hooked_up_ps2, hooking, hookups, inputs, optical_audio_output, outputs, pc_hook_up, pc_input, ports, rca_outputs, s-video_input, usb_input, vga_pc_input, video_inputs, video_outputs, voice_input, zenith_output]
hardware	[bezel, built-in_camera, built_in_camera, button_placement, buttons, cable_box, camera, capacitor, chassis, circuit_board, digital_cable, dtv_tuner, electronics_package, external_hard_drive, fav_button, firmware, frame, gadgets, hardware, hd_cox_cable, hd_stations, hd_tivo, hd_tuner, headphone_jack, keyboard, main_board, motion_sensor, mute_button, power_board, screen_keyboard, side_bars, stand, standard_cable, switch_box, swivel_stand, touch_pad, tube, tuner, usb_memory_stick, usb_wireless_stick, wireless_keyboard, wireless_mouse]
3d	[3d_bd_player, 3d_content, 3d_effect, 3d_effects, 3d_experience, 3d_quality, full_3d]
dvd player	[blurays, dvd, dvd_player, dvds, hd_dvd, hd_dvd_player, mp3_player, stardard_dvds, unconverted_dvd, up-converted_dvd]
remote	[cable_remote, control_remote, navigate, remote, remote_button, remote_control, stock_remote, touch_remote, tv_remote, universal_remote]
software	[allshare_software, external_sound_system, hd_programming, interface, legacy_systems, menu, menu_displays, menus, mute_icon, regular_programming, sd_programming, setup_menu, software]
setting	[default_settings, detailed_settings, image_setting, implementation_installation, initial_setup, led_set, picture_setting, preset_picture_settings, set, set_up, setting, settings, setup, stretch_setting]
connectivity	[access, accessing, analog_signal, browsing_internet, built_in_wifi, connecting, connection, connections, connectivity, connects, downloading, food_network, hand_drive_wifi, internet, link, music_sites, netflix, network, over_the_air, router, sd_signals, signal, smart_hub, smart_hub_account, smarthub, streaming, web_browser, web_surfing, wi-fi_connect, wifi, wifi_reception, wireless]
channel	[broadcasts, channel, channel_guide, channels, digital_channel, digital_hd_channels, hd_broadcasts, hd_channels, hdtv_broadcasts, hdtv_channels, media, music_channels, regular_channels, regular_digital_channels, regular_local_channels, rovio_guide]
sports	[baseball, espn_hd, football, football_games, high_def_sports, soccer, sport-fan, sports]
game	[game, game_mode, games, gaming, gaming_aspect, hd_games, play, playstation, ps3, regular_xbox, video_game, xbox, xbox360, xbox_360]
app	[app, applications, apps, netflix_app, plex_app, smart_tv_apps]
option	[choice, clear_screen_option, dynamic_mode, hd_modes, input_options, option, options, selection, setup_options, vivid_mode, zoom_modes]
manual	[industry-leading, manual, spec, specs, standard, standard_def]
delivery	[delivery, delivery_service, packaging, shipping]
customer service	[customer_service, firmware_upgrades, service, support, updated, usb_support]
experience	[experience, experienced, experiences, whole_experience]
